id,sample,cytaimage,image,slide,area,json
18_57617_A1,18_57617_A1_D1,etc/assay_CAVG10505_2023-12-06_10-13-34_V43L25-333_1701876913_CytAssist/CAVG10505_2023-12-06_10-35-13_2023-12-06_10-13-34_V43L25-333_D1_18-57617-A1.tif,etc/tiff/18-57617-A1.tif,V43L25-333,D1,etc/json/18_57617_A1.json
20_24241_B2,20_24241_B2_A1,etc/assay_CAVG10505_2023-12-06_10-13-34_V43L25-333_1701876913_CytAssist/CAVG10505_2023-12-06_10-35-13_2023-12-06_10-13-34_V43L25-333_A1_20-24241-B2.tif,etc/tiff/20-24241-B2.tif,V43L25-333,A1,etc/json/20_24241_B2.json
